pid,title,link,responsible,activity,sector,cost M€,cost MDT,governorate,context,detail,impact,financialarrangment,image_urls,images
4122,Development program of the electrical network,http://tunisia2020.com/en/projet/development-program-of-the-electrical-network/,The Tunisian Company for Electricity and Gas (STEG),Energy,Public,180,450," Ariana, Béja, Ben Arous, Bizerte, Gabès, Gafsa, Jendouba, Jendouban, Kairouan, Kasserine, Kébili, Large cities suburbs, Le Kef, Mahdia, Manouba, Médenine, Monastir, Nabeul, Scalable across Tunisi, Scalable across Tunisia, Sfax, Sidi Bouzid, Siliana, Sousse, Tataouine, Tozeur, Tunis, Zaghouan"," 
                                 Improve the capacity and the quality of the network of electricity transport 
Ensure the continuity of the electricity supply 
Support the development of the various regions 
Develop the integration capacity of the renewable energies on the network","  
                                 13 stations of electric transformation (high and medium voltage) 
350 km of aerial and underground electric lines 
 
 
Technical studies are on going",," 
                                 To be made by The Tunisian Company for Electricity and Gas by an external loan",http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/133-interconnexion.jpg,"[{'url': 'http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/133-interconnexion.jpg', 'path': 'full/56fc9ebc263f5d78f602d90fad79f153ee81db67.jpg', 'checksum': '14d79a06f053e5fe87420eba1cab4cf2'}]"
4128,Development of space industry around microsatellites,http://tunisia2020.com/en/projet/development-of-space-industry-around-microsatellites/,Telnet Holding &amp; Airbus Safran Launchers,Space,PPP,48,120," Ariana, Béja, Ben Arous, Bizerte, Gabès, Gafsa, Jendouba, Jendouban, Kairouan, Kasserine, Kébili, Large cities suburbs, Le Kef, Mahdia, Manouba, Médenine, Monastir, Nabeul, Scalable across Tunisi, Scalable across Tunisia, Sfax, Sidi Bouzid, Siliana, Sousse, Tataouine, Tozeur, Tunis, Zaghouan"," 
                                 Provide Tunisia with a capacity to produce and test its own microsatellites 
Develop an educational and industrial ecosystem in the space sector focusing on domestic and commercial needs (especially related to spatial imagery) 
Significant socio-economic impacts (creation of jobs, attracting and retaining talents)","  
                                 The project consist in supporting the development of a space industry, through the design and engineering of a capacity to assemble, integrate and test microsatellites (AITC)* as part of a partnership between Airbus Safran Launchers, Telnet and the Tunisian industrial and academic fabric. 
* AITC : Assembly, Integration and Test Center",," 
                                 To be made by Public Private Partnership",http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/147-Satellite.jpg,"[{'url': 'http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/147-Satellite.jpg', 'path': 'full/62405b330604aeb2921f4c9175a02431f93309ee.jpg', 'checksum': 'ab1f7a9f9d97d1d59fab797298038a19'}]"
4132,Smart Grid,http://tunisia2020.com/en/projet/smart-grid/,"Ministry of Communication, Technologies and Digital Economy",Information and Communication Technologies (ICT),PPP,600,1500," Ariana, Béja, Ben Arous, Bizerte, Gabès, Gafsa, Jendouba, Jendouban, Kairouan, Kasserine, Kébili, Large cities suburbs, Le Kef, Mahdia, Manouba, Médenine, Monastir, Nabeul, Scalable across Tunisi, Scalable across Tunisia, Sfax, Sidi Bouzid, Siliana, Sousse, Tataouine, Tozeur, Tunis, Zaghouan"," 
                                 Enable Universal Service to Citizen 
Create thousands jobs by enhancing Smart Grid skills and fostering a national Smart Grid business ecosystem 
Reduce losses on the grid, fraud, unpaid bills and enhance energy peaks smoothing 
Make Tunisia a centre of excellence in Africa and brand the country as an innovation pioneer 
Enable 30% Renewable Energy goal","  
                                 Approve the recommendend tender end-to-end study scenario 
Launch an international tender for a study that will provide required deliverables to roll-out: 
International state-of-art benchmark &amp; Diagnosis 
Roadmap &amp; Technical solution and deployment scenarii 
Business Case including business model, ROI, TCO, CAPEX, OPEX 
Specifications 
Roll-out the approved solution scenario 
 
 
 
 
Study's tender writing in progress 
Study's tender's scenario approval required 
Negociation with international backers to fund the study",," 
                                 STEG &amp; contribution from an international backer 
110$M of expected annual revenues and a payback period of 5 to 7 years",http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/150-Smart-Grid.jpg,"[{'url': 'http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/150-Smart-Grid.jpg', 'path': 'full/8f92af2d378023ff21b3d2301a12b2989162f340.jpg', 'checksum': '27a810206182c4170331135f04f9e3ca'}]"
4135,Search for partners for the development of the activities of the Promotion Company of the Lake of Tunis (SPLT),http://tunisia2020.com/en/projet/search-for-partners-for-the-development-of-the-activities-of-the-promotion-company-of-the-lake-of-tunis-splt/,The Promotion Company of the Lake of Tunis (SPLT),Real Estate,Private,840,2100,Tunis," 
                                 A better exploitation of the remaining land reserve, which the major part is the natural extension of the hyper-center of Tunis 
  A better valuation of the company's assets 
  A contribution to a better control of the urban development of the city of Tunis 
  Better profitability of the company","  
                                 Open the company's capital to partners to support its development and enable it to engage in other similar urban projects both in Tunisia and in the region, capitalizing on the know-how acquired over a period of more than thirty years 
To promote, with financial and technical partners, cost-effective and innovative projects to be carried out in the current perimeter and in new areas of the country 
A strategic study on the development of the area was carried out in 2013 by a consortium of internationally renowned consulting firms.",," 
                                 The investments to be made for the development of the company's own areas are estimated at 1000 MTD 
The investments for new projects already identified at the current stage are 1100 MTD 
The other projects have yet to be defined with the partners.",http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/153-SPLT.jpg,"[{'url': 'http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/153-SPLT.jpg', 'path': 'full/8d13f0de686f09417167ad995260589bcafe8d32.jpg', 'checksum': 'fa60dc128ed3fe982da32f8112e033ec'}]"
4136,Program for the modernization and reinforcement of roads within municipalities,http://tunisia2020.com/en/projet/program-for-the-modernization-and-reinforcement-of-roads-within-municipalities/,"Tendering Authority/ Ministry of Equipment, Housing and Territory Planning",Transport,Public,280,700," Ariana, Béja, Ben Arous, Bizerte, Gabès, Gafsa, Jendouba, Jendouban, Kairouan, Kasserine, Kébili, Large cities suburbs, Le Kef, Mahdia, Manouba, Médenine, Monastir, Nabeul, Scalable across Tunisi, Scalable across Tunisia, Sfax, Sidi Bouzid, Siliana, Sousse, Tataouine, Tozeur, Tunis, Zaghouan"," 
                                 Facilitate access to habitat sites 
Improving the movement of people and vehicles and improving citizens living conditions and security","  
                                 This program consist in the rehablitation of 2100 km distributed as follows: 
 1080 km in 72 big municipalities (15km of road / unit) 
  480 km in 48 in medium municipalities (10 km of road / unit) 
  540 km 180 in small municipalities ( 03 km of road / unit) 
 
 
 
Deadlines for program implementation: 
Phase 1: 2017-2018 
Phase 2: 2019-2020",," 
                                 To be funded by external loan",http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/23-Routes-classees.jpg,"[{'url': 'http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/23-Routes-classees.jpg', 'path': 'full/e524d1f91174398dc215f43d1965daf56fb3d218.jpg', 'checksum': 'c09cc4b280b8a3ec741ebab00b2effbf'}]"
4134,New wastewater treatment plant in Gabes,http://tunisia2020.com/en/projet/new-wastewater-treatment-plant-in-gabes/,The National Sanitation Office (ONAS),Water,PPP,24,60,Gabès," 
                                 Increasing the wastewater treatment capacity 
Remoteness of Gabes wastewater treatment plant from the urban zone 
Improvement of sludge treatment processes and the reuse of treated wastewater 
Improvement of the citizens living conditions and the national environmental security","  
                                 The project concerns the construction of a new wastewater treatment plant in Gabes. 
The project includes : 
Rehabilitation of the main pumping station SR4 , flow 360 l/s 
Implementation of a transfer system plant SPTR to the new site of the new wastewater treatment plant , pumping flow : 636 l/s inlet pipe : DN 800 – length : 9 km 
Implementation of a new wastewater treatment plant with the energy optimisation of biogas : hydraulic load : 21500m3/day and organic load 11500 DOD5/day",," 
                                 To be made by public private partnership",http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/152-STEP-Gabes.jpg,"[{'url': 'http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/152-STEP-Gabes.jpg', 'path': 'full/2dafdc931def2987b7be3fce4e61cc1e8e8a26be.jpg', 'checksum': 'bda50e7031c3064cd4a7f0978917bb9e'}]"
3844,Program for investment boosting and farms modernization (PRIMEA),http://tunisia2020.com/en/projet/stimulus-program-for-boosting-the-investment-and-the-modernization-of-farms-primea/,"
 Ministry of Agriculture, Fishery and Water Resources",Agriculture,Public,72,180," Ariana, Béja, Ben Arous, Bizerte, Gabès, Gafsa, Jendouba, Kairouan, Kasserine, Kébili, Le Kef, Mahdia, Manouba, Médenine, Monastir, Nabeul, Sfax, Sidi Bouzid, Siliana, Sousse, Tataouine, Tozeur, Tunis, Zaghouan"," 
                                 Improvement of Tunisian farmers income and modernization of farms (20000 in 5 years) 
Contribution of the agricultural GPD (+11%) 
Strengthening agricultural production 
Creating jobs in rural areas 
Improving national food security","  
                                 The project aims at supporting the investment boosting strategy in Tunisia, in relation to the agricultural sector: 
The implementation of the new investments code provisions and funding of incentives to farms; 
The implementation of an efficient and professional technico-economic advisory service for the upgrading of farms; 
The financing of farms upgrading projects; 
The institutions and civil society.",," 
                                 To be funded by an external loan.",http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/89-Primea-1.jpg,"[{'url': 'http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/89-Primea-1.jpg', 'path': 'full/915736b9eec7dbc0c9209e5ad605679734d637f9.jpg', 'checksum': '14d062101ac7c46091b715cb14d50e5e'}]"
4133,Protection and development of the Sebkha of Moknine,http://tunisia2020.com/en/projet/protection-and-development-of-the-sebkha-of-moknine/,Coast Protection Agency (APAL),Environment,PPP,120,300,Monastir," 
                                 Sanitation and depollution of the Sebkha and its banks, 
Protection of the ecosystems 
Socio-economic value of the site","  
                                 Sanitation and protection of the Sebkha 
Development of the banks of the Sebkha 
Promotion and valorization of the natural resources of the site 
Sustainable economic development of the site: industrial salt pans 100 ha - 50 l/s, intensive and semi-intensive aquaculture (fish, shrimps, artemia).",," 
                                 To be made by public private partnership",http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/151-Sebkha-Moknine.jpg,"[{'url': 'http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/151-Sebkha-Moknine.jpg', 'path': 'full/626435b5c01360dd18d852e041cd95fcfbab0e69.jpg', 'checksum': 'b0b6e39cb2e7903bed3f157e65bba574'}]"
3836,Development of the Grand Korbous area Governorate of Nabeul,http://tunisia2020.com/en/projet/development-of-the-grand-korbous-area-governorate-of-nabeul/,"
 The National Office of Thermalism and Hydrotherapy",Tourism,PPP,1200,3000,Nabeul," 
                                 Creation of 7700 jobs (6200 direct and 1500 indirect jobs) 
Welcoming about 50,000 seekers of cures and welfare per year between Tunisians and foreign 
Welcoming about 10,000 visitors per year among the niche of the nature lovers 
Creation of the first major pole of thermal care in Tunisia and in Africa 
Regional development and positive discrimination between the regions 
Launch of the export of healthcare services","  
                                 The project consists of the development of a major pole of thermal tourism in Korbous, on 1300 hectare,  including 4 spas, 26 hotel residences, cottages, a casino or a theater, A recreational natural park, a golf course, a cultural and folkloric forum, a floating pool, sea shuttles, a funicular. The whole on nearly 275 hectares classified urbanisable, the rest constituting the environment of the project is rated non-urbanisable for environmental requirements. 
The project's strengths are: 
The 1300 hectares belong to the State 
The historical and archaeological heritage characterizing the Korbous area 
The exceptional thermal reserves 
The Undeniable natural and landscape assets 
The support by the State of the extramuros infrastructures and the launch of the substantial works 
The granting of incentives for investment in the area under the regional development 
Approval of the Development Plan of the area",," 
                                 The Investment will be made by private operators.",http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/94-Grand-Korbous.jpg,"[{'url': 'http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/94-Grand-Korbous.jpg', 'path': 'full/ab08c1202f10de562fb4659344082e872c59e0c5.jpg', 'checksum': '13421b860b86da438d53e62e1eb10b4a'}]"
3847,Integrated management of domestic waste in the Southwest region of the Grand-Tunis,http://tunisia2020.com/en/projet/integrated-management-of-domestic-waste-in-the-southwest-region-of-the-grand-tunis-2/,"
 The National Waste Management Agency (ANGED)",Environment,PPP,60,150," Ben Arous, Tunis"," 
                                 To Improve the collection service and ensure the cleanliness of cities 
To Increase waste recovery rates and to be  restricted  to landfilling final waste 
To Improve the living conditions of citizens and national environmental safety","  
                                 The collection and the transport of domestic waste for a population about 1.3 million inhabitants 
The creation and the management of a unit of treatment and of a domestic waste recycling with a capacity of 1200 tons/day 
 
 
Ongoing studies (funded from World Bank)",," 
                                 To be funded by The  National Waste Management Agency (ANGED) by Public-Private Partnership",http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/86-déchets-sud-ouest-1.jpg,"[{'url': 'http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/86-d%C3%A9chets-sud-ouest-1.jpg', 'path': 'full/e23c66ed607da423bbd02437fa7daeac507e5553.jpg', 'checksum': '2035a723ca66e34c9b72fda60a3473bc'}]"
3838," Thermal village in the area of El Khbayet at El Hamma, Governorate of Gabes ",http://tunisia2020.com/en/projet/thermal-village-in-the-area-of-el-khbayet-at-el-hamma-governorate-of-gabes-2/,"
 The National Office of Thermalism and Hydrotherapy",Tourism,Private,400,1000,Gabès," 
                                 Creation of 3000 jobs including 1000 direct jobs 
Several positions of induced employment: around 3200 
300,000 patients per year are welcomed between Tunisians and foreigners 
Regional development and positive discrimination between the interior regions 
Creation of the first pole of thermal care meeting the international standards, and launch of the healthcare services export","  
                                 The project consists of the creation of a thermal village in the area of El Khbayet at El Hamma of Gabes including : 
2 thermal units, 4 hotel units, 350 dwellings (houses and apartments), 250 luxury villas, a golf course, A sports center, a congress center and various shops and entertainment areas and services.  
all of them on a total area of 240 hectares. 
The project's strengths are: 
The 240 hectares are owned by the State 
The availability of thermal resources with recognized therapeutic properties 
The ancestral traditions of thermal water use for therapeutic purposes 
The support by the State of the extramural infrastructures, and the provision of incentives to regional development 
Approval of the development plan of the area. 
Acceptable profitability rate 
The Austrian investors are in negotiations with the Tunisian state regarding this project",," 
                                 The Investment will be made by private operators.",http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/93-Khbayet.jpg,"[{'url': 'http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/93-Khbayet.jpg', 'path': 'full/ca96619c626f5abf06c1949981a58b80cb60b7b2.jpg', 'checksum': '842210b80bd60a7b269e73da2277d376'}]"
4047,SIRIUS,http://tunisia2020.com/projet/sirius/," 
 Société HOTEL EL KSAR",  Immobilier, Privé,Coût :  44,110,Gouvernorat(s) :  Sousse,"Contexte  
                                 Le projet consiste en la réalisation d'un complexe résidentiel et commercial de haut standing dans l’enceinte de l’hôtel El KSAR à Sousse. 
Le projet est implanté à Khezama donnant d’un coté sur la mer et de l’autre coté sur la route touristique menant du centre ville de Sousse à port El Kantaoui. 
C’est un projet original, homogène et intégré qui prend en compte la diversité des activités.","Contenu détaillé du projet  
                                 Le projet est composé d’un complexe immobilier collectif de haut standing, d’un complexe immobilier isolé, d’un complexe de commerce et d’un complexe de services. 
La surface couverte globale du projet est de 48000m² y compris sous sol aménagé. 
Le terrain est divisé en deux parties : 
Zone 1 : dédiée aux opérations d’habitat d’une superficie de 3 Ha. 
Zone 2 : dédiée aux opérations de commerce et de services d’une superficie de 7000m².","Impacts escomptés  
                                 Participation à l’évolution de la dynamique de développement de la ville de Sousse. 
La mise en valeur et la promotion d’un tourisme de haute gamme. 
La participation à la création de postes d’emploi directs et indirects.","Montage financier  
                                 40% de fonds propres seront apportés par les principaux investisseurs et le reste sera réalisé par des banques et des fonds d’investissements étrangers. 
Le chiffre d’affaires prévisionnel est de 220MDT soit 88 M€",http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/SIRIU.png,"[{'url': 'http://tunisia2020-548724.c.cdn77.org/wp-content/uploads/2016/11/SIRIU.png', 'path': 'full/f2abd0f8f61dcfd17e9928830e58e29d59c215cd.jpg', 'checksum': 'f22ccee77015156a27079097aed3b3e9'}]"
